Name,Categories,Cuisine Types,Nationalities,Rating,Address,Res_Latitude,Res_Longitude,Reviews,Distance,Phone,Closed,Price
Her Father's Cider Bar & Kitchen,"Gastropubs, Bars, Canadian (New)","Gastropubs, Bars",Canadian (New),4.5,"119 Harbord Street, Toronto",43.66232,-79.40453,195,2285.2339512870803,+16473477747,False,$$
La Palette,"French, Desserts, Bars","Desserts, Bars",French,4.0,"492 Queen Street W, Toronto",43.64797,-79.40098,259,1435.9914302924074,+14169294900,False,$$$
Rodney's Oyster House,Seafood,Seafood,,4.0,"469 King Street W, Toronto",43.644948,-79.396846,445,1712.3762464769861,+14163638105,False,$$$
Té,"Asian Fusion, Korean, Comfort Food",,"Asian Fusion, Korean",4.0,"70 Ossington Avenue, Toronto",43.64575,-79.41964,124,209.47457831963334,+16473488009,False,$$
Oyster Boy,Seafood,Seafood,,4.0,"872 Queen Street W, Toronto",43.6452243474777,-79.4143338791601,214,321.81065240611684,+14165343432,False,$$$
Soos,Malaysian,,Malaysian,4.0,"94 Ossington Avenue, Toronto",43.6462593,-79.4197464,176,260.3983956753173,+14169017667,False,$$$
Smoque N' Bones,Barbeque,Barbeque,,4.0,"869 Queen Street W, Toronto",43.6457027819391,-79.4107432752393,419,613.6983154538299,+16473415730,False,$$
Barque Smokehouse,"Barbeque, Smokehouse",Barbeque,,4.0,"299 Roncesvalles Avenue, Toronto",43.6480097,-79.4496592,526,2572.799138559631,+14165327700,False,$$
Le Sélect Bistro,"French, Coffee & Tea, Breakfast & Brunch",Coffee & Tea,French,4.0,"432 Wellington Street W, Toronto",43.643905577145816,-79.39685231028895,469,1710.6481792360003,+14165966405,False,$$$
George Restaurant,"Canadian (New), Cocktail Bars",Cocktail Bars,Canadian (New),4.5,"111 Queen Street E, Toronto",43.65337263523713,-79.37432933100068,301,3664.9934564076943,+14168636006,False,$$$$
OEB Breakfast Co. Liberty Village,Breakfast & Brunch,,,4.5,"125 E Liberty Street, Toronto",43.63836,-79.41623,142,669.9832132208518,+14162381152,False,$$
Jatujak,"Food Delivery Services, Thai",,Thai,4.0,"1744 Victoria Park Avenue, Toronto",43.7360274,-79.3075152,406,3585.319913633121,+16473521744,False,$$
Nakamori,"Japanese, Sushi Bars, Asian Fusion",Sushi Bars,"Japanese, Asian Fusion",4.0,"2803 Eglinton Avenue E, Toronto",43.73692,-79.24466,115,1602.969643497907,+14162657111,False,$$$
Lageez,Indian,,Indian,4.5,"641 Pharmacy Avenue, Toronto",43.7108417,-79.2913192,115,3271.349926906827,+14162857999,False,$$
Jatujak,"Thai, Food Delivery Services",,Thai,4.0,"2386 Kingston Road, Toronto",43.70807200002782,-79.25049418095091,166,2902.721190073344,+14166981466,False,$$
Rally Restaurant and Bar,"Sports Bars, Barbeque, Smokehouse","Sports Bars, Barbeque",,4.0,"1660 O'Connor Drive, Toronto",43.7174661,-79.305012,106,3718.0081154829236,+14165517356,False,$$
Pho Metro,Vietnamese,,Vietnamese,4.0,"2057 Lawrence Avenue E, Scarborough",43.7452661839602,-79.2940485477448,372,2833.3659023916866,+14167508898,False,$$
Ni Ji Sushi,"Japanese, Sushi Bars",Sushi Bars,Japanese,4.0,"1095 Ellesmere Road, Toronto",43.76751,-79.2716499,289,3965.1039857517953,+14167553335,False,$$
Scotty Bons Caribbean Grill,Caribbean,,Caribbean,4.0,"789 Warden Avenue, Scarborough",43.72604,-79.2861,101,1952.7252244933325,+14167527222,False,N/A
The Corner Bank,"Pool Halls, Sports Bars, Canadian (New)",Sports Bars,Canadian (New),4.5,"925 Warden Avenue, Toronto",43.7313499,-79.288269,40,1977.941816937176,+14167572265,False,$$
Mamajoun Armenian Pizzeria,"Pizza, Sandwiches","Pizza, Sandwiches",,4.5,"209 Ellesmere Road, Toronto",43.76045,-79.30292,129,4413.540147863444,+16473505686,False,$
Fish & Loaf,"Seafood, Steakhouses, Asian Fusion","Seafood, Steakhouses",Asian Fusion,5.0,"A117-41 Lebovic Avenue, Toronto",43.7232723,-79.2887355,16,2259.348776561863,+16473688683,False,N/A
Aleppo Kebab,Kebab,,,4.5,"1960 Lawrence Avenue E, Toronto",43.74495,-79.29819,57,3114.182776786576,+14167019191,False,$$
THE REAL McCOY,"Burgers, Pizza","Burgers, Pizza",,4.5,"3300 Lawrence Avenue E, Scarborough",43.75797528226658,-79.23588011076787,196,3612.8821904553633,+14164396804,False,$
Makkal Chon,Korean,,Korean,4.0,"1979 Lawrence Avenue E, Toronto",43.7447,-79.29678,376,2962.135056946868,+14167573945,False,$$
Subiksha Foods,"Indian, Vegetarian",,Indian,4.5,"2633 Eglinton Avenue E, Toronto",43.7358005,-79.2516812,45,1020.1883879661837,+14162642221,False,$
MEXITACO,"Mexican, Cocktail Bars, Latin American",Cocktail Bars,"Mexican, Latin American",4.0,"1109 Victoria Park Avenue, Toronto",43.70862,-79.29554,153,3686.157536370114,+16473496603,False,$$
Barans Turkish Cuisine & Bar,"Turkish, Bars",Bars,,3.5,"2043 Eglinton Avenue E, Toronto",43.7292880867379,-79.2807260155678,92,1417.9087891908353,+14167504545,False,$$$
Maya’s Halal Pizza And Grill,"Pizza, Italian, Burgers","Pizza, Burgers",Italian,4.5,"1555 O'Connor Drive, Toronto",43.71498188910873,-79.30499549999999,49,3848.195559135416,+14168778787,False,$$
Blackhorn Steakhouse,Steakhouses,Steakhouses,,4.5,"251 Ellesmere Road, Scarborough",43.76038,-79.30197,34,4380.169672342951,+14164492841,False,$$$
The Veggie Thali,"Indian, Vegetarian, Vegan",,Indian,4.5,"1410 Victoria Park Avenue, Toronto",43.71942,-79.30102,66,3334.266702768483,+14162858344,False,$
Johnny's Shawarma,Middle Eastern,,Middle Eastern,4.0,"1904 Kennedy Road, Toronto",43.76682699196,-79.281736767751,95,4096.167208996647,+14162987917,False,$
Sahan Restaurant,"Steakhouses, African",Steakhouses,African,4.5,"2010 Lawrence Avenue E, Scarborough",43.7450295437891,-79.2963746935129,61,2983.661192426047,+14167597242,False,$$
Vindaloo Indian Cuisine,Indian,,Indian,4.0,"2891 Kingston Road, Toronto",43.7223816,-79.2352524,58,2541.9760134600538,+14169011133,False,$$
Diana's Oyster Bar and Grill,"Seafood, American, Bars","Seafood, Bars",American,3.5,"2105 Lawrence Avenue E, Scarborough",43.74574,-79.29152,218,2691.268259762081,+14162881588,False,$$$
Ital Vital,"Caribbean, Juice Bars & Smoothies",Juice Bars & Smoothies,Caribbean,4.5,"741 Pharmacy Avenue, Scarborough",43.71723,-79.2936299,112,2949.6104613425678,+16474287432,False,$$
Roll N Bowl Korean & Japanese Cuisine,"Japanese, Korean, Sushi Bars",Sushi Bars,"Japanese, Korean",4.0,"1157 Ellesmere Road, Toronto",43.767194,-79.270336,122,3907.017260385743,+14167011212,False,$$
Patisserie Royale,"Bakeries, Middle Eastern",,Middle Eastern,4.5,"1415 Kennedy Road, Toronto",43.7648113,-79.2802709,47,3844.946002004509,+14167556323,False,$$
Il Fresco,Italian,,Italian,4.5,"3081 Kingston Road, Scarborough",43.7266967033533,-79.2302662836768,25,2753.1516945183225,+16473474889,False,$$
Kim Kim Indian Hakka Chinese Restaurant,"Halal, Asian Fusion",,Asian Fusion,4.0,"1188 Kennedy Road, Scarborough",43.7535081,-79.2764809,87,2565.263995785488,+14167578300,False,$
Wong's Asian Cuisine,"Hakka, Asian Fusion",,Asian Fusion,4.0,"2173 Lawrence Avenue  E, Scarborough",43.74755,-79.2839485,44,2321.041220515857,+14162850289,False,$
Crown Pastries,"Bakeries, Middle Eastern",,Middle Eastern,4.5,"2086 Lawrence Avenue E, Toronto",43.74603,-79.29268,41,2821.6869169265005,+16473512015,False,$$
Chung Moi Chinese Restaurant,"Hakka, Asian Fusion",,Asian Fusion,4.0,"2412 Eglinton Avenue E, Scarborough",43.7324399,-79.26944,58,462.1653475949481,+14167555293,False,$$
ADDA Bengali Kitchen and Catering,"Bangladeshi, Indian",,Indian,5.0,"3342 Danforth Avenue, Toronto",43.69397,-79.27756,15,4416.415024702254,+16473472332,False,N/A
Mandarin Restaurant,"Buffets, Chinese",,Chinese,3.5,"2206 Eglinton Avenue E, Scarborough",43.73081612078658,-79.2792395005249,82,1267.9382843642163,+14162881177,False,$$
T-Bones Sizzling Steaks & Burgers Drive-In Restaurant,"Burgers, Steakhouses","Burgers, Steakhouses",,3.5,"2540 Eglinton Avenue E, Scarborough",43.7354,-79.25612,155,685.0076430512152,+14162695757,False,$$
El Sazón de la Tia Flor,Mexican,,Mexican,4.5,"1549 O'Connor Drive, Toronto",43.71473696786333,-79.30526085197926,31,3880.3529196185755,+14166892450,False,$
Good Luck Chinese Restaurant,Chinese,,Chinese,3.5,"2432 Eglinton Avenue E, Scarborough",43.733699,-79.266142,32,249.78095839885702,+14162851818,False,$
Karahi Boys,"Pakistani, Barbeque",Barbeque,,4.0,"1921 Lawrence Avenue E, Toronto",43.74385,-79.29975,44,3177.4276461685854,+14169018727,False,N/A
Rose's Halal Kitchen,"Halal, Caribbean",,Caribbean,4.5,"8a-1960 Lawrence Ave E, Toronto",43.7449359,-79.2982706,22,3114.182776786576,+14167314142,False,$$
Shawarma Empire,Middle Eastern,,Middle Eastern,4.5,"1823 Lawrence Avenue E, Scarborough",43.74322,-79.30347,230,3415.2233304809647,+14162851337,False,$
Gingerman Restaurant,"Canadian (New), Diners",,Canadian (New),4.5,"1104 Victoria Park Avenue, Toronto",43.707776,-79.296167,69,3786.676201409882,+14167575005,False,$
Royal Congee Chinese Cuisine,Chinese,,Chinese,4.5,"4 Greystone Walk Drive, Toronto",43.72469,-79.25267,29,1238.1456725207456,+14162618818,False,$$
Mama's Boys Burgers,Burgers,Burgers,,4.0,"480 Danforth Road, Toronto",43.7085701680731,-79.2676411249707,135,2668.897249129104,+14162696262,False,$
Aunt Elsie's Caribbean Kitchen,Caribbean,,Caribbean,4.5,"2689 Eglinton Avenue E, Toronto",43.7362402,-79.2499133,23,1180.6664802100822,+14162610250,False,$
Hakka Legend Asian Cuisine,"Halal, Hakka",,,3.5,"789 Warden Avenue, Toronto",43.7260199667117,-79.2867648140719,63,1990.9088592502853,+14167590006,False,$$
Chick Fiesta,"Portuguese, Steakhouses, Chicken Shop",Steakhouses,,4.0,"699 Markham Road, Toronto",43.7616397900835,-79.2256938730903,40,4455.499404698897,+14164395300,False,$
Pizza On Fire,"Pizza, Halal, Chicken Wings",Pizza,,5.0,"880 Ellesmere Road, Toronto",43.76622,-79.28211,27,4021.154939421883,+14164120011,False,N/A
Kroran Uyghur Cuisine,"Chinese, Halal, Turkish",,Chinese,4.0,"1515 Birchmount Road, Toronto",43.7589,-79.28916,34,3579.3100261753375,+14165514010,False,N/A
HoneyB Hives Restaurant,"Bubble Tea, Breakfast & Brunch, Fast Food",Fast Food,,4.5,"2608 Eglington Ave East, Toronto",43.7361287581,-79.2529113561,9,954.6597926559135,+14162610888,False,N/A
California Sandwiches,Sandwiches,Sandwiches,,4.0,"812 Warden Avenue, Scarborough",43.72609,-79.28758,63,2039.9801474112041,+14167550555,False,$
Scaramouche Restaurant Pasta Bar & Grill,"French, Bars",Bars,French,4.5,"1 Benvenuto Place, Toronto",43.68155,-79.39991,339,957.6577731104373,+14169618011,False,$$$$
Trattoria Nervosa,"Italian, Pizza, Salad",Pizza,Italian,4.0,"75 Yorkville Avenue, Toronto",43.67101,-79.39104,411,956.8970836135991,+14169614642,False,$$
Yasu,"Japanese, Sushi Bars",Sushi Bars,Japanese,4.5,"81 Harbord Street, Toronto",43.66269,-79.40314,433,1149.997628243046,+14164772361,False,$$$$
Joso's,Seafood,Seafood,,4.5,"202 Davenport Road, Toronto",43.6751099,-79.39607,173,572.4449022397338,+14169251903,False,$$$
Rasa,"Canadian (New), Tapas/Small Plates",,Canadian (New),4.5,"196 Robert Street, Toronto",43.6627752,-79.4039682,331,1150.138525891417,+16473508221,False,$$
Playa Cabana,"Mexican, Bars",Bars,Mexican,4.0,"111 Dupont Street, Toronto",43.6759577692695,-79.4011840224266,480,341.7209727155873,+14169293911,False,$$
Blu Ristorante,Italian,,Italian,4.0,"90 Avenue Road, Toronto",43.67239,-79.396085,180,541.1672137815705,+14169211471,False,$$$
The Carbon Bar,"Barbeque, Bars, American","Barbeque, Bars",American,4.0,"99 Queen Street East, Toronto",43.653088,-79.374829,421,3151.765105269873,+14169477000,False,$$$
PLANTA Yorkville,"Vegetarian, Pizza, Sushi Bars","Pizza, Sushi Bars",,4.0,"1221 Bay Street, Toronto",43.67028,-79.38945,510,1108.4914962931164,+16478121221,False,$$
Insomnia Restaurant & Lounge,"Lounges, Breakfast & Brunch, Comfort Food",,,4.0,"563 Bloor Street W, Toronto",43.665961,-79.411003,1020,1037.50381636617,+14165883907,False,$$
Fieramosca,Italian,,Italian,4.5,"36A Prince Arthur Avenue, Toronto",43.66963,-79.39719,115,580.0670896505306,+14163230636,False,$$$
KINKA IZAKAYA ANNEX,"Japanese, Tapas/Small Plates, Pubs",Pubs,Japanese,4.0,"559 Bloor St W, Toronto",43.665157,-79.410658,507,1090.5805321932428,+16473431101,False,$$
The Oxley,"Pubs, Gastropubs","Pubs, Gastropubs",,4.0,"121 Yorkville Avenue, Toronto",43.67059,-79.39304,186,818.6542524066784,+16473481300,False,$$
Miku,"Japanese, Sushi Bars",Sushi Bars,Japanese,4.0,"105-10 Bay Street, Toronto",43.6412346,-79.3773697,905,4083.2988227447017,+16473477347,False,$$$$
The Caledonian,"Pubs, Scottish, Whiskey Bars","Pubs, Whiskey Bars",Scottish,4.5,"856 College Street, Toronto",43.65439,-79.42355,152,2679.365137686118,+14165777472,False,$$
Ristorante Sotto Sotto,Italian,,Italian,4.0,"120 Avenue Road, Toronto",43.67374,-79.39646,134,502.2831400380689,+14169620011,False,$$$
The Keg Steakhouse + Bar,"Steakhouses, Bars, Seafood","Steakhouses, Bars, Seafood",,4.0,"515 Jarvis Street, Toronto",43.6668345,-79.3779253,378,2106.7091081248163,+14169646609,False,$$$
Kintaro Izakaya,"Japanese, Sushi Bars, Tapas/Small Plates",Sushi Bars,Japanese,4.0,"459 Church Street, Toronto",43.66417,-79.38006,246,2065.964114466317,+16475605335,False,$$
Sugo,"Italian, Sandwiches, Cocktail Bars","Sandwiches, Cocktail Bars",Italian,4.5,"1281 Bloor Street W, Toronto",43.65825,-79.44227,283,3592.9556792973676,+14165351717,False,$$
Agio,Italian,,Italian,4.5,"1351 St Clair Avenue W, Toronto",43.67599,-79.45066,191,3374.5875860974043,+16473484814,False,$$
CANO Restaurant,"Italian, Mediterranean, Cocktail Bars",Cocktail Bars,"Italian, Mediterranean",4.5,"1108 St Clair Avenue W, Toronto",43.67871,-79.44058,73,3396.708425127579,+14169013655,False,$$
The Hole In the Wall,"Pubs, Canadian (New)",Pubs,Canadian (New),4.5,"2867 Dundas Street W, Toronto",43.66518,-79.46515,174,4491.631501647928,N/A,False,$$
RH Courtyard Restaurant at RH Toronto,"Cafes, Canadian (New), Breakfast & Brunch",Cafes,Canadian (New),4.0,"3401 Dufferin Street, Toronto",43.72490335246923,-79.45560181367874,184,2193.4521667719823,+14163229422,False,$$$
Queen of Persia,Persian/Iranian,,Persian/Iranian,4.5,"672A St Clair Avenue W, Toronto",43.68203,-79.42542,52,3869.387214777552,+14166515500,False,$$$
Pho Anh Vu,Vietnamese,,Vietnamese,4.0,"3200 Dufferin Street, Toronto",43.7183600176532,-79.4573690012284,84,1452.1378066051352,+16473469333,False,$$
Barista & Chef,Mediterranean,,Mediterranean,4.5,"1006 Saint Clair Avenue W, Toronto",43.6794533,-79.4374528,53,3457.7603377112846,+16473441216,False,$$
Nodo Restaurant,Italian,,Italian,4.5,"794 Saint Clair Avenue W, Toronto",43.6810110636599,-79.4297991693019,65,3697.9214812863565,+16477481559,False,$$
Pukka,Indian,,Indian,4.0,"778 St. Clair Avenue W, Toronto",43.681191,-79.429274,180,3711.931576379526,+14163421906,False,$$$
La Bella Managua,"Latin American, Nicaraguan",,Latin American,4.5,"872 Bloor Street W, Toronto",43.66232,-79.42495,257,5606.3033802442515,+14169134227,False,$$
Bi Bim Bap,Korean,,Korean,4.0,"950 Eglinton Avenue W, Toronto",43.70055,-79.4287204,81,2641.8064042877336,+14167877423,False,$$
Honest Weight,"Seafood, Seafood Markets","Seafood, Seafood Markets",,4.5,"2766 Dundas Street W, Toronto",43.6653335939817,-79.4614855543404,138,4471.621063931214,+14166049992,False,$$
JOEY Yorkdale,"Canadian (New), Lounges, Steakhouses",Steakhouses,Canadian (New),3.5,"305-B 3401 Dufferin Street, Toronto",43.7240672555651,-79.45392225487333,317,2133.4786400355783,+14167835639,False,$$
Indie Ale House,"Breweries, Gastropubs, Pizza","Gastropubs, Pizza",,4.0,"2876 Dundas Street W, Toronto",43.6654413783034,-79.4652382135862,255,4473.283645944859,+14167609691,False,$$
Zuki Japanese Restaurant,"Japanese, Sushi Bars",Sushi Bars,Japanese,4.0,"2030 Eglinton Avenue W, Toronto",43.6946297,-79.4561386,75,1267.2875606554703,+16473522030,False,$$
Selam Restaurant & Lounge,Ethiopian,,Ethiopian,4.5,"812 Bloor Street W, Toronto",43.66279,-79.42269,74,5657.36585730281,+14169157225,False,$$
Pancer's Original Deli,Delis,,,4.5,"3856 Bathurst Street, Toronto",43.74074,-79.43534,99,4426.65475774094,+14166361230,False,$$
Paldo Gangsan,Korean,,Korean,4.5,"694 Bloor Street  W, Toronto",43.664,-79.41743,84,5798.261269651917,+14165367517,False,$
Isaan Der,Thai,,Thai,4.0,"2961 Dundas Street W, Toronto",43.6652858,-79.4679385,116,4512.786148289081,+14166040062,False,$$
FK,French,,French,4.5,"770 St Clair Avenue W, Toronto",43.68127,-79.42869,54,3726.258785123211,+14165519731,False,N/A
Luna Junction,"Portuguese, Mediterranean, Seafood",Seafood,Mediterranean,4.5,"2800 Dundas St W, Toronto",43.6656,-79.46276,41,4445.811078789707,+14167624116,False,N/A
The Arepa Republic,"Venezuelan, Food Trucks",,Venezuelan,4.5,"76 Densley Avenue, Toronto",43.7053574,-79.4712085,19,830.4677280434133,+14162432430,False,N/A
St. Matthew's BBQ Chicken,"Portuguese, Barbeque",Barbeque,,4.5,"527 Rogers Rd, Toronto",43.68209,-79.46899,31,2687.128109909324,+14166584126,False,$$
Tallboys Craft Beer House,"Pubs, Canadian (New), Burgers","Pubs, Burgers",Canadian (New),4.0,"838 Bloor Street W, Toronto",43.66256,-79.42382,101,5634.905117259957,+14165357486,False,$$
TORA,"Japanese, Sushi Bars",Sushi Bars,Japanese,4.0,"612B-3401 Dufferin Street, Toronto",43.7244555742087,-79.45526187686,224,2150.152407534391,+16473491193,False,$$$
Nodo - Junction,Italian,,Italian,4.0,"2885 Dundas Street West, Toronto",43.665251,-79.465596,207,4491.20046258254,+14169011559,False,$$
Aviv Immigrant Kitchen,Mediterranean,,Mediterranean,4.5,"779 St. Clair Avenue W, Toronto",43.68078,-79.42912,23,3754.8977782997003,+14169222433,False,N/A
Katsuya,"Japanese, Asian Fusion",,"Japanese, Asian Fusion",5.0,"3610 Dufferin Street, Toronto",43.731431,-79.4591441,37,2881.6213998370777,+14163980059,False,$$
Sea Witch Fish and Chips,Fish & Chips,,,4.0,"636 Saint Clair Avenue W, Toronto",43.6822185,-79.4239619,136,3939.974523780409,+16473494824,False,$$
Dirty Food Eatery,"Breakfast & Brunch, Comfort Food, Southern",,,4.5,"3070 Dundas Street W, Toronto",43.66565,-79.47188,143,4528.6086995935875,+14168553393,False,$$
Buk Chang Dong Soon Tofu,Korean,,Korean,4.0,"691 Bloor Street W, Toronto",43.66363,-79.4169299,490,5855.555636230247,+14165370972,False,$$
Northwood,"Cafes, Cocktail Bars","Cafes, Cocktail Bars",,4.0,"815 W Bloor Street, Toronto",43.66248,-79.42204,122,5696.75232348575,N/A,False,$$
Famiglia Baldassarre,Italian,,Italian,4.5,"122 Geary Avenue, Toronto",43.67052,-79.4350599,75,4421.896489238261,+16472935395,False,$$
Leela Indian Food Bar,Indian,,Indian,4.0,"3108 Dundas Street W, Toronto",43.6656864338278,-79.4737639278173,107,4552.1185537080955,+14167697777,False,$$
Chica's Nashville Hot Chicken,"Chicken Shop, Southern",,,4.5,"2853 Dundas Street W, Toronto",43.66518,-79.46423,128,4489.281181241234,+16473436562,False,$$
Emma's Country Kitchen,"Breakfast & Brunch, Comfort Food, Donuts",,,4.0,"810 Saint Clair Avenue W, Toronto",43.68103,-79.4303599,444,3677.7488553331177,+14166523662,False,$$
Tre Mari Bakery,"Bakeries, Italian, Delicatessen",,Italian,4.5,"1311 Saint Clair Avenue W, Toronto",43.6765,-79.44868,94,3380.365232641598,+14166548960,False,$
Comal Y Canela,Mexican,,Mexican,4.5,"1692B Jane Street, North York",43.70326,-79.50419,118,3490.23883171311,+16476894694,False,$$
Rush Hour,Portuguese,,,4.5,"1438A Dufferin Street, Toronto",43.67111,-79.44037,48,4160.778720892923,+14165334687,False,$$
Pizza e Pazzi,"Pizza, Italian",Pizza,Italian,4.0,"1182 St Clair Avenue W, Toronto",43.678,-79.44385892512817,91,3353.7266214531383,+14166519999,False,$$
Rio 40 Restaurant,Brazilian,,,4.0,"1256 Saint Clair Avenue West, Toronto",43.677457,-79.446485,63,3330.734883059436,+14166546363,False,$$
